Ship_ID,Order_ID,Ship_Mode,Shipping_Cost
SHIP-716,ORD-1716,Standard,241
SHIP-717,ORD-1717,Standard,146
SHIP-718,ORD-1718,Standard,87
SHIP-719,ORD-1719,Standard,348
SHIP-720,ORD-1720,Express,197
SHIP-721,ORD-1721,Express,245
SHIP-722,ORD-1722,Standard,122
SHIP-723,ORD-1723,Express,496
SHIP-724,ORD-1724,Express,85
SHIP-725,ORD-1725,Standard,195
SHIP-726,ORD-1726,Standard,302
SHIP-727,ORD-1727,Standard,170
SHIP-728,ORD-1728,Express,340
SHIP-729,ORD-1729,Standard,486
SHIP-730,ORD-1730,Express,394
SHIP-731,ORD-1731,Express,137
SHIP-732,ORD-1732,Express,111
SHIP-733,ORD-1733,Express,175
SHIP-734,ORD-1734,Standard,472
SHIP-735,ORD-1735,Standard,372
SHIP-736,ORD-1736,Standard,497
SHIP-737,ORD-1737,Express,288
SHIP-738,ORD-1738,Standard,238
SHIP-739,ORD-1739,Standard,365
SHIP-740,ORD-1740,Express,61
SHIP-741,ORD-1741,Standard,303
SHIP-742,ORD-1742,Standard,141
SHIP-743,ORD-1743,Standard,179
SHIP-744,ORD-1744,Standard,303
SHIP-745,ORD-1745,Standard,243
SHIP-746,ORD-1746,Standard,79
SHIP-747,ORD-1747,Standard,215
SHIP-748,ORD-1748,Express,338
SHIP-749,ORD-1749,Standard,380
SHIP-750,ORD-1750,Express,207
SHIP-751,ORD-1751,Standard,401
SHIP-752,ORD-1752,Express,342
SHIP-753,ORD-1753,Standard,121
SHIP-754,ORD-1754,Express,169
SHIP-755,ORD-1755,Express,446
SHIP-756,ORD-1756,Standard,247
SHIP-757,ORD-1757,Express,327
SHIP-758,ORD-1758,Express,99
SHIP-759,ORD-1759,Express,74
SHIP-760,ORD-1760,Standard,232
SHIP-761,ORD-1761,Standard,427
SHIP-762,ORD-1762,Standard,318
SHIP-763,ORD-1763,Standard,429
SHIP-764,ORD-1764,Standard,385
SHIP-765,ORD-1765,Standard,73
SHIP-766,ORD-1766,Standard,77
SHIP-767,ORD-1767,Standard,484
SHIP-768,ORD-1768,Express,65
SHIP-769,ORD-1769,Standard,161
SHIP-770,ORD-1770,Express,151
SHIP-771,ORD-1771,Standard,202
SHIP-772,ORD-1772,Standard,343
SHIP-773,ORD-1773,Standard,88
SHIP-774,ORD-1774,Express,344
SHIP-775,ORD-1775,Express,418
SHIP-776,ORD-1776,Express,476
SHIP-777,ORD-1777,Express,116
SHIP-778,ORD-1778,Express,52
SHIP-779,ORD-1779,Standard,391
SHIP-780,ORD-1780,Express,189
SHIP-781,ORD-1781,Express,420
SHIP-782,ORD-1782,Express,479
SHIP-783,ORD-1783,Standard,201
SHIP-784,ORD-1784,Standard,190
SHIP-785,ORD-1785,Standard,100
SHIP-786,ORD-1786,Express,191
SHIP-787,ORD-1787,Standard,88
SHIP-788,ORD-1788,Standard,59
SHIP-789,ORD-1789,Express,208
SHIP-790,ORD-1790,Standard,443
SHIP-791,ORD-1791,Standard,252
SHIP-792,ORD-1792,Express,418
SHIP-793,ORD-1793,Express,70
SHIP-794,ORD-1794,Express,416
SHIP-795,ORD-1795,Standard,465
SHIP-796,ORD-1796,Standard,257
SHIP-797,ORD-1797,Express,328
SHIP-798,ORD-1798,Express,345
SHIP-799,ORD-1799,Express,89
SHIP-800,ORD-1800,Express,111
SHIP-801,ORD-1801,Express,85
SHIP-802,ORD-1802,Express,235
SHIP-803,ORD-1803,Standard,215
SHIP-804,ORD-1804,Express,185
SHIP-805,ORD-1805,Standard,291
SHIP-806,ORD-1806,Standard,178
SHIP-807,ORD-1807,Express,212
SHIP-808,ORD-1808,Express,469
SHIP-809,ORD-1809,Standard,446
SHIP-810,ORD-1810,Express,431
SHIP-811,ORD-1811,Standard,221
SHIP-812,ORD-1812,Standard,72
SHIP-813,ORD-1813,Standard,402
SHIP-814,ORD-1814,Express,188
SHIP-815,ORD-1815,Express,405
SHIP-816,ORD-1816,Standard,443
SHIP-817,ORD-1817,Express,228
SHIP-818,ORD-1818,Express,99
SHIP-819,ORD-1819,Express,141
SHIP-820,ORD-1820,Standard,255
SHIP-821,ORD-1821,Express,91
SHIP-822,ORD-1822,Standard,178
SHIP-823,ORD-1823,Standard,444
SHIP-824,ORD-1824,Standard,438
SHIP-825,ORD-1825,Standard,355
SHIP-826,ORD-1826,Express,255
SHIP-827,ORD-1827,Express,150
SHIP-828,ORD-1828,Express,84
SHIP-829,ORD-1829,Express,455
SHIP-830,ORD-1830,Express,104
SHIP-831,ORD-1831,Express,313
SHIP-832,ORD-1832,Express,456
SHIP-833,ORD-1833,Standard,225
SHIP-834,ORD-1834,Express,66
SHIP-835,ORD-1835,Express,149
SHIP-836,ORD-1836,Standard,295
SHIP-837,ORD-1837,Standard,221
SHIP-838,ORD-1838,Express,142
SHIP-839,ORD-1839,Standard,236
SHIP-840,ORD-1840,Express,285
SHIP-841,ORD-1841,Standard,331
SHIP-842,ORD-1842,Express,143
SHIP-843,ORD-1843,Standard,291
SHIP-844,ORD-1844,Express,118
SHIP-845,ORD-1845,Express,185
SHIP-846,ORD-1846,Standard,451
SHIP-847,ORD-1847,Express,281
SHIP-848,ORD-1848,Express,289
SHIP-849,ORD-1849,Standard,271
SHIP-850,ORD-1850,Express,285
SHIP-851,ORD-1851,Standard,234
SHIP-852,ORD-1852,Standard,302
SHIP-853,ORD-1853,Express,64
SHIP-854,ORD-1854,Standard,333
SHIP-855,ORD-1855,Express,147
SHIP-856,ORD-1856,Standard,428
SHIP-857,ORD-1857,Express,421
SHIP-858,ORD-1858,Standard,129
SHIP-859,ORD-1859,Standard,178
SHIP-860,ORD-1860,Express,200
SHIP-861,ORD-1861,Standard,397
SHIP-862,ORD-1862,Standard,493
SHIP-863,ORD-1863,Express,467
SHIP-864,ORD-1864,Standard,183
SHIP-865,ORD-1865,Express,234
SHIP-866,ORD-1866,Express,267
SHIP-867,ORD-1867,Standard,300
SHIP-868,ORD-1868,Express,433
SHIP-869,ORD-1869,Express,308
SHIP-870,ORD-1870,Standard,429
SHIP-871,ORD-1871,Express,78
SHIP-872,ORD-1872,Standard,205
SHIP-873,ORD-1873,Express,303
SHIP-874,ORD-1874,Standard,282
SHIP-875,ORD-1875,Express,147
SHIP-876,ORD-1876,Express,131
SHIP-877,ORD-1877,Standard,249
SHIP-878,ORD-1878,Standard,158
SHIP-879,ORD-1879,Standard,446
SHIP-880,ORD-1880,Standard,470
SHIP-881,ORD-1881,Standard,413
SHIP-882,ORD-1882,Express,54
SHIP-883,ORD-1883,Express,292
SHIP-884,ORD-1884,Standard,464
SHIP-885,ORD-1885,Standard,354
SHIP-886,ORD-1886,Standard,111
SHIP-887,ORD-1887,Standard,455
SHIP-888,ORD-1888,Standard,298
SHIP-889,ORD-1889,Standard,232
SHIP-890,ORD-1890,Standard,370
SHIP-891,ORD-1891,Standard,308
SHIP-892,ORD-1892,Standard,209
SHIP-893,ORD-1893,Express,202
SHIP-894,ORD-1894,Standard,384
SHIP-895,ORD-1895,Express,484
SHIP-896,ORD-1896,Express,366
SHIP-897,ORD-1897,Standard,219
SHIP-898,ORD-1898,Standard,86
SHIP-899,ORD-1899,Express,399
SHIP-900,ORD-1900,Standard,411
SHIP-901,ORD-1901,Express,395
SHIP-902,ORD-1902,Standard,127
SHIP-903,ORD-1903,Express,231
SHIP-904,ORD-1904,Standard,191
SHIP-905,ORD-1905,Standard,426
SHIP-906,ORD-1906,Express,150
SHIP-907,ORD-1907,Standard,123
SHIP-908,ORD-1908,Express,139
SHIP-909,ORD-1909,Express,129
SHIP-910,ORD-1910,Standard,93
SHIP-911,ORD-1911,Standard,120
SHIP-912,ORD-1912,Standard,349
SHIP-913,ORD-1913,Express,221
SHIP-914,ORD-1914,Standard,392
SHIP-915,ORD-1915,Express,371
SHIP-916,ORD-1916,Express,161
SHIP-917,ORD-1917,Standard,87
SHIP-918,ORD-1918,Standard,478
SHIP-919,ORD-1919,Express,182
SHIP-920,ORD-1920,Express,168
SHIP-921,ORD-1921,Express,349
SHIP-922,ORD-1922,Express,61
SHIP-923,ORD-1923,Express,190
SHIP-924,ORD-1924,Express,88
SHIP-925,ORD-1925,Standard,188
SHIP-926,ORD-1926,Express,79
SHIP-927,ORD-1927,Standard,219
SHIP-928,ORD-1928,Standard,397
SHIP-929,ORD-1929,Express,343
SHIP-930,ORD-1930,Standard,109
SHIP-931,ORD-1931,Express,467
SHIP-932,ORD-1932,Express,203
SHIP-933,ORD-1933,Express,411
SHIP-934,ORD-1934,Standard,153
SHIP-935,ORD-1935,Express,202
SHIP-936,ORD-1936,Standard,356
SHIP-937,ORD-1937,Standard,460
SHIP-938,ORD-1938,Express,123
SHIP-939,ORD-1939,Standard,160
SHIP-940,ORD-1940,Express,98
SHIP-941,ORD-1941,Standard,264
SHIP-942,ORD-1942,Express,468
SHIP-943,ORD-1943,Standard,441
SHIP-944,ORD-1944,Standard,351
SHIP-945,ORD-1945,Standard,365
SHIP-946,ORD-1946,Express,271
SHIP-947,ORD-1947,Standard,153
SHIP-948,ORD-1948,Express,277
SHIP-949,ORD-1949,Standard,293
SHIP-950,ORD-1950,Express,214
SHIP-951,ORD-1951,Standard,231
SHIP-952,ORD-1952,Express,339
SHIP-953,ORD-1953,Express,61
SHIP-954,ORD-1954,Express,338
SHIP-955,ORD-1955,Express,111
SHIP-956,ORD-1956,Express,183
SHIP-957,ORD-1957,Standard,135
SHIP-958,ORD-1958,Express,280
SHIP-959,ORD-1959,Express,209
SHIP-960,ORD-1960,Standard,298
SHIP-961,ORD-1961,Express,255
SHIP-962,ORD-1962,Standard,371
SHIP-963,ORD-1963,Standard,289
SHIP-964,ORD-1964,Express,489
SHIP-965,ORD-1965,Standard,143
SHIP-966,ORD-1966,Standard,68
SHIP-967,ORD-1967,Express,372
SHIP-968,ORD-1968,Standard,290
SHIP-969,ORD-1969,Express,206
SHIP-970,ORD-1970,Express,133
SHIP-971,ORD-1971,Express,290
SHIP-972,ORD-1972,Standard,302
SHIP-973,ORD-1973,Express,128
SHIP-974,ORD-1974,Express,321
SHIP-975,ORD-1975,Express,180
SHIP-976,ORD-1976,Standard,185
SHIP-977,ORD-1977,Standard,258
SHIP-978,ORD-1978,Standard,189
SHIP-979,ORD-1979,Standard,204
SHIP-980,ORD-1980,Standard,253
SHIP-981,ORD-1981,Standard,371
SHIP-982,ORD-1982,Express,451
SHIP-983,ORD-1983,Express,452
SHIP-984,ORD-1984,Express,331
SHIP-985,ORD-1985,Express,480
SHIP-986,ORD-1986,Express,486
SHIP-987,ORD-1987,Standard,253
SHIP-988,ORD-1988,Express,185
SHIP-989,ORD-1989,Standard,406
SHIP-990,ORD-1990,Express,394
SHIP-991,ORD-1991,Express,337
SHIP-992,ORD-1992,Express,409
SHIP-993,ORD-1993,Express,208
SHIP-994,ORD-1994,Standard,126
SHIP-995,ORD-1995,Express,145
SHIP-996,ORD-1996,Express,141
SHIP-997,ORD-1997,Express,173
SHIP-998,ORD-1998,Standard,490
SHIP-999,ORD-1999,Standard,171
SHIP-1000,ORD-2000,Express,254
SHIP-1001,ORD-2001,Standard,247
SHIP-1002,ORD-2002,Standard,182
SHIP-1003,ORD-2003,Standard,256
SHIP-1004,ORD-2004,Express,145
SHIP-1005,ORD-2005,Standard,454
SHIP-1006,ORD-2006,Express,153
SHIP-1007,ORD-2007,Standard,223
SHIP-1008,ORD-2008,Express,230
SHIP-1009,ORD-2009,Standard,430
SHIP-1010,ORD-2010,Standard,141
SHIP-1011,ORD-2011,Standard,88
SHIP-1012,ORD-2012,Express,249
SHIP-1013,ORD-2013,Express,469
SHIP-1014,ORD-2014,Standard,242
SHIP-1015,ORD-2015,Express,323
SHIP-1016,ORD-2016,Standard,425
SHIP-1017,ORD-2017,Express,405
SHIP-1018,ORD-2018,Standard,310
SHIP-1019,ORD-2019,Express,431
SHIP-1020,ORD-2020,Standard,134
SHIP-1021,ORD-2021,Standard,449
SHIP-1022,ORD-2022,Express,346
SHIP-1023,ORD-2023,Standard,181
SHIP-1024,ORD-2024,Standard,350
SHIP-1025,ORD-2025,Express,131
SHIP-1026,ORD-2026,Express,413
SHIP-1027,ORD-2027,Express,123
SHIP-1028,ORD-2028,Standard,61
SHIP-1029,ORD-2029,Express,374
SHIP-1030,ORD-2030,Express,290
SHIP-1031,ORD-2031,Standard,204
SHIP-1032,ORD-2032,Express,161
SHIP-1033,ORD-2033,Express,247
SHIP-1034,ORD-2034,Standard,234
SHIP-1035,ORD-2035,Express,471
SHIP-1036,ORD-2036,Standard,457
SHIP-1037,ORD-2037,Standard,281
SHIP-1038,ORD-2038,Standard,133
SHIP-1039,ORD-2039,Express,87
SHIP-1040,ORD-2040,Express,228
SHIP-1041,ORD-2041,Standard,322
SHIP-1042,ORD-2042,Standard,135
SHIP-1043,ORD-2043,Standard,375
SHIP-1044,ORD-2044,Standard,425
SHIP-1045,ORD-2045,Standard,482
SHIP-1046,ORD-2046,Standard,407
SHIP-1047,ORD-2047,Standard,277
SHIP-1048,ORD-2048,Standard,400
SHIP-1049,ORD-2049,Express,414
SHIP-1050,ORD-2050,Express,111
SHIP-1051,ORD-2051,Standard,365
SHIP-1052,ORD-2052,Express,247
SHIP-1053,ORD-2053,Express,206
SHIP-1054,ORD-2054,Express,473
SHIP-1055,ORD-2055,Standard,385
SHIP-1056,ORD-2056,Express,428
SHIP-1057,ORD-2057,Standard,252
SHIP-1058,ORD-2058,Express,413
SHIP-1059,ORD-2059,Standard,464
SHIP-1060,ORD-2060,Standard,259
SHIP-1061,ORD-2061,Standard,199
SHIP-1062,ORD-2062,Standard,338
SHIP-1063,ORD-2063,Express,352
SHIP-1064,ORD-2064,Express,436
SHIP-1065,ORD-2065,Express,231
SHIP-1066,ORD-2066,Express,171
SHIP-1067,ORD-2067,Express,201
SHIP-1068,ORD-2068,Standard,163
SHIP-1069,ORD-2069,Express,367
SHIP-1070,ORD-2070,Standard,413
SHIP-1071,ORD-2071,Standard,363
SHIP-1072,ORD-2072,Standard,410
SHIP-1073,ORD-2073,Standard,407
SHIP-1074,ORD-2074,Standard,95
SHIP-1075,ORD-2075,Standard,70
SHIP-1076,ORD-2076,Express,149
SHIP-1077,ORD-2077,Express,258
SHIP-1078,ORD-2078,Express,394
SHIP-1079,ORD-2079,Standard,474
SHIP-1080,ORD-2080,Express,302
SHIP-1081,ORD-2081,Standard,243
SHIP-1082,ORD-2082,Standard,474
SHIP-1083,ORD-2083,Standard,148
SHIP-1084,ORD-2084,Express,409
SHIP-1085,ORD-2085,Standard,376
SHIP-1086,ORD-2086,Express,158
SHIP-1087,ORD-2087,Standard,475
SHIP-1088,ORD-2088,Express,434
SHIP-1089,ORD-2089,Standard,405
SHIP-1090,ORD-2090,Express,177
SHIP-1091,ORD-2091,Standard,136
SHIP-1092,ORD-2092,Express,121
SHIP-1093,ORD-2093,Express,145
SHIP-1094,ORD-2094,Express,448
SHIP-1095,ORD-2095,Express,206
SHIP-1096,ORD-2096,Standard,54
SHIP-1097,ORD-2097,Express,406
SHIP-1098,ORD-2098,Standard,221
SHIP-1099,ORD-2099,Standard,311
SHIP-1100,ORD-2100,Standard,457
SHIP-1101,ORD-2101,Express,446
SHIP-1102,ORD-2102,Express,192
SHIP-1103,ORD-2103,Express,279
SHIP-1104,ORD-2104,Express,207
SHIP-1105,ORD-2105,Express,459
SHIP-1106,ORD-2106,Standard,358
SHIP-1107,ORD-2107,Standard,356
SHIP-1108,ORD-2108,Express,215
SHIP-1109,ORD-2109,Standard,340
SHIP-1110,ORD-2110,Express,107
SHIP-1111,ORD-2111,Express,61
SHIP-1112,ORD-2112,Standard,426
SHIP-1113,ORD-2113,Express,96
SHIP-1114,ORD-2114,Express,415
SHIP-1115,ORD-2115,Express,80
SHIP-1116,ORD-2116,Express,374
SHIP-1117,ORD-2117,Standard,225
SHIP-1118,ORD-2118,Express,122
SHIP-1119,ORD-2119,Standard,439
SHIP-1120,ORD-2120,Standard,204
SHIP-1121,ORD-2121,Standard,128
SHIP-1122,ORD-2122,Express,412
SHIP-1123,ORD-2123,Express,78
SHIP-1124,ORD-2124,Express,479
SHIP-1125,ORD-2125,Express,395
SHIP-1126,ORD-2126,Express,209
SHIP-1127,ORD-2127,Express,471
SHIP-1128,ORD-2128,Standard,115
SHIP-1129,ORD-2129,Standard,306
SHIP-1130,ORD-2130,Express,376
SHIP-1131,ORD-2131,Standard,136
SHIP-1132,ORD-2132,Express,322
SHIP-1133,ORD-2133,Express,422
SHIP-1134,ORD-2134,Express,262
SHIP-1135,ORD-2135,Standard,199
SHIP-1136,ORD-2136,Standard,66
SHIP-1137,ORD-2137,Express,269
SHIP-1138,ORD-2138,Standard,339
SHIP-1139,ORD-2139,Express,426
SHIP-1140,ORD-2140,Standard,272
SHIP-1141,ORD-2141,Express,434
SHIP-1142,ORD-2142,Express,230
SHIP-1143,ORD-2143,Express,63
SHIP-1144,ORD-2144,Express,105
SHIP-1145,ORD-2145,Standard,367
SHIP-1146,ORD-2146,Express,136
SHIP-1147,ORD-2147,Express,194
SHIP-1148,ORD-2148,Express,341
SHIP-1149,ORD-2149,Express,495
SHIP-1150,ORD-2150,Standard,421
SHIP-1151,ORD-2151,Standard,312
SHIP-1152,ORD-2152,Express,55
SHIP-1153,ORD-2153,Standard,366
SHIP-1154,ORD-2154,Standard,300
SHIP-1155,ORD-2155,Standard,87
SHIP-1156,ORD-2156,Standard,140
SHIP-1157,ORD-2157,Express,213
SHIP-1158,ORD-2158,Express,367
SHIP-1159,ORD-2159,Express,424
SHIP-1160,ORD-2160,Express,223
SHIP-1161,ORD-2161,Express,143
SHIP-1162,ORD-2162,Express,107
SHIP-1163,ORD-2163,Express,129
SHIP-1164,ORD-2164,Standard,415
SHIP-1165,ORD-2165,Express,281
SHIP-1166,ORD-2166,Standard,391
SHIP-1167,ORD-2167,Express,283
SHIP-1168,ORD-2168,Express,469
SHIP-1169,ORD-2169,Standard,111
SHIP-1170,ORD-2170,Standard,408
SHIP-1171,ORD-2171,Express,423
SHIP-1172,ORD-2172,Standard,214
SHIP-1173,ORD-2173,Express,428
SHIP-1174,ORD-2174,Express,191
SHIP-1175,ORD-2175,Express,399
SHIP-1176,ORD-2176,Standard,128
SHIP-1177,ORD-2177,Standard,53
SHIP-1178,ORD-2178,Express,448
SHIP-1179,ORD-2179,Standard,271
SHIP-1180,ORD-2180,Express,449
SHIP-1181,ORD-2181,Standard,400
SHIP-1182,ORD-2182,Standard,311
SHIP-1183,ORD-2183,Express,155
SHIP-1184,ORD-2184,Express,111
SHIP-1185,ORD-2185,Express,146
SHIP-1186,ORD-2186,Express,141
SHIP-1187,ORD-2187,Standard,400
SHIP-1188,ORD-2188,Standard,296
SHIP-1189,ORD-2189,Express,152
SHIP-1190,ORD-2190,Standard,95
SHIP-1191,ORD-2191,Express,464
SHIP-1192,ORD-2192,Express,153
SHIP-1193,ORD-2193,Standard,447
SHIP-1194,ORD-2194,Standard,280
SHIP-1195,ORD-2195,Standard,298
SHIP-1196,ORD-2196,Express,128
SHIP-1197,ORD-2197,Standard,360
SHIP-1198,ORD-2198,Standard,246
SHIP-1199,ORD-2199,Express,344
SHIP-1200,ORD-2200,Standard,212
SHIP-1201,ORD-2201,Express,304
SHIP-1202,ORD-2202,Standard,214
SHIP-1203,ORD-2203,Standard,402
SHIP-1204,ORD-2204,Express,442
SHIP-1205,ORD-2205,Express,333
SHIP-1206,ORD-2206,Express,83
SHIP-1207,ORD-2207,Express,213
SHIP-1208,ORD-2208,Standard,143
SHIP-1209,ORD-2209,Express,425
SHIP-1210,ORD-2210,Express,429
SHIP-1211,ORD-2211,Express,401
SHIP-1212,ORD-2212,Standard,164
SHIP-1213,ORD-2213,Express,419
SHIP-1214,ORD-2214,Standard,340
SHIP-1215,ORD-2215,Standard,251
SHIP-1216,ORD-2216,Standard,344
SHIP-1217,ORD-2217,Standard,151
SHIP-1218,ORD-2218,Standard,62
SHIP-1219,ORD-2219,Standard,142
SHIP-1220,ORD-2220,Express,101
SHIP-1221,ORD-2221,Standard,164
SHIP-1222,ORD-2222,Standard,287
SHIP-1223,ORD-2223,Standard,139
SHIP-1224,ORD-2224,Standard,362
SHIP-1225,ORD-2225,Express,474
SHIP-1226,ORD-2226,Standard,160
SHIP-1227,ORD-2227,Standard,339
SHIP-1228,ORD-2228,Standard,189
SHIP-1229,ORD-2229,Standard,101
SHIP-1230,ORD-2230,Standard,151
SHIP-1231,ORD-2231,Standard,391
SHIP-1232,ORD-2232,Express,355
SHIP-1233,ORD-2233,Standard,95
SHIP-1234,ORD-2234,Express,407
SHIP-1235,ORD-2235,Standard,155
SHIP-1236,ORD-2236,Standard,391
SHIP-1237,ORD-2237,Standard,134
SHIP-1238,ORD-2238,Standard,62
SHIP-1239,ORD-2239,Express,337
SHIP-1240,ORD-2240,Express,268
SHIP-1241,ORD-2241,Express,163
SHIP-1242,ORD-2242,Express,281
SHIP-1243,ORD-2243,Express,359
SHIP-1244,ORD-2244,Standard,361
SHIP-1245,ORD-2245,Express,397
SHIP-1246,ORD-2246,Standard,401
SHIP-1247,ORD-2247,Standard,280
SHIP-1248,ORD-2248,Express,459
SHIP-1249,ORD-2249,Standard,488
SHIP-1250,ORD-2250,Standard,271
SHIP-1251,ORD-2251,Express,280
SHIP-1252,ORD-2252,Express,352
SHIP-1253,ORD-2253,Express,167
SHIP-1254,ORD-2254,Standard,376
SHIP-1255,ORD-2255,Standard,131
SHIP-1256,ORD-2256,Standard,439
SHIP-1257,ORD-2257,Standard,408
SHIP-1258,ORD-2258,Express,129
SHIP-1259,ORD-2259,Express,290
SHIP-1260,ORD-2260,Express,170
SHIP-1261,ORD-2261,Standard,230
SHIP-1262,ORD-2262,Standard,347
SHIP-1263,ORD-2263,Standard,77
SHIP-1264,ORD-2264,Standard,351
SHIP-1265,ORD-2265,Standard,50
SHIP-1266,ORD-2266,Express,429
SHIP-1267,ORD-2267,Express,187
SHIP-1268,ORD-2268,Express,102
SHIP-1269,ORD-2269,Standard,254
SHIP-1270,ORD-2270,Standard,102
SHIP-1271,ORD-2271,Express,293
SHIP-1272,ORD-2272,Standard,179
SHIP-1273,ORD-2273,Standard,354
SHIP-1274,ORD-2274,Standard,59
SHIP-1275,ORD-2275,Express,146
SHIP-1276,ORD-2276,Express,103
SHIP-1277,ORD-2277,Standard,413
SHIP-1278,ORD-2278,Express,270
SHIP-1279,ORD-2279,Express,329
SHIP-1280,ORD-2280,Standard,473
SHIP-1281,ORD-2281,Express,215
SHIP-1282,ORD-2282,Express,317
SHIP-1283,ORD-2283,Standard,249
SHIP-1284,ORD-2284,Standard,98
SHIP-1285,ORD-2285,Express,296
SHIP-1286,ORD-2286,Express,151
SHIP-1287,ORD-2287,Standard,174
SHIP-1288,ORD-2288,Standard,91
SHIP-1289,ORD-2289,Standard,140
SHIP-1290,ORD-2290,Standard,386
SHIP-1291,ORD-2291,Express,482
SHIP-1292,ORD-2292,Standard,97
SHIP-1293,ORD-2293,Standard,444
SHIP-1294,ORD-2294,Express,313
SHIP-1295,ORD-2295,Standard,432
SHIP-1296,ORD-2296,Standard,120
SHIP-1297,ORD-2297,Express,103
SHIP-1298,ORD-2298,Standard,201
SHIP-1299,ORD-2299,Express,295
SHIP-1300,ORD-2300,Express,412
SHIP-1301,ORD-2301,Standard,137
SHIP-1302,ORD-2302,Express,225
SHIP-1303,ORD-2303,Standard,497
SHIP-1304,ORD-2304,Standard,179
SHIP-1305,ORD-2305,Standard,435
SHIP-1306,ORD-2306,Express,251
SHIP-1307,ORD-2307,Standard,298
SHIP-1308,ORD-2308,Standard,159
SHIP-1309,ORD-2309,Standard,228
SHIP-1310,ORD-2310,Standard,205
SHIP-1311,ORD-2311,Express,418
SHIP-1312,ORD-2312,Standard,170
SHIP-1313,ORD-2313,Standard,291
SHIP-1314,ORD-2314,Express,398
SHIP-1315,ORD-2315,Express,277
SHIP-1316,ORD-2316,Standard,471
SHIP-1317,ORD-2317,Express,238
SHIP-1318,ORD-2318,Express,191
SHIP-1319,ORD-2319,Express,207
SHIP-1320,ORD-2320,Standard,335
SHIP-1321,ORD-2321,Express,467
SHIP-1322,ORD-2322,Express,451
SHIP-1323,ORD-2323,Express,283
SHIP-1324,ORD-2324,Express,263
SHIP-1325,ORD-2325,Express,86
SHIP-1326,ORD-2326,Standard,394
SHIP-1327,ORD-2327,Express,267
SHIP-1328,ORD-2328,Standard,79
SHIP-1329,ORD-2329,Standard,52
SHIP-1330,ORD-2330,Standard,132
SHIP-1331,ORD-2331,Standard,198
SHIP-1332,ORD-2332,Standard,462
SHIP-1333,ORD-2333,Standard,97
SHIP-1334,ORD-2334,Standard,196
SHIP-1335,ORD-2335,Standard,307
SHIP-1336,ORD-2336,Express,337
SHIP-1337,ORD-2337,Express,499
SHIP-1338,ORD-2338,Standard,202
SHIP-1339,ORD-2339,Express,366
SHIP-1340,ORD-2340,Standard,497
SHIP-1341,ORD-2341,Standard,473
SHIP-1342,ORD-2342,Standard,307
SHIP-1343,ORD-2343,Express,396
SHIP-1344,ORD-2344,Standard,442
SHIP-1345,ORD-2345,Express,288
SHIP-1346,ORD-2346,Standard,416
SHIP-1347,ORD-2347,Express,449
SHIP-1348,ORD-2348,Standard,343
SHIP-1349,ORD-2349,Express,290
SHIP-1350,ORD-2350,Express,151
SHIP-1351,ORD-2351,Express,458
SHIP-1352,ORD-2352,Express,453
SHIP-1353,ORD-2353,Express,266
SHIP-1354,ORD-2354,Express,393
SHIP-1355,ORD-2355,Express,494
SHIP-1356,ORD-2356,Express,158
SHIP-1357,ORD-2357,Express,438
SHIP-1358,ORD-2358,Standard,95
SHIP-1359,ORD-2359,Express,335
SHIP-1360,ORD-2360,Standard,303
SHIP-1361,ORD-2361,Express,389
SHIP-1362,ORD-2362,Standard,319
SHIP-1363,ORD-2363,Express,418
SHIP-1364,ORD-2364,Standard,58
SHIP-1365,ORD-2365,Standard,208
SHIP-1366,ORD-2366,Express,193
SHIP-1367,ORD-2367,Standard,220
SHIP-1368,ORD-2368,Standard,346
SHIP-1369,ORD-2369,Express,354
SHIP-1370,ORD-2370,Standard,444
SHIP-1371,ORD-2371,Standard,129
SHIP-1372,ORD-2372,Standard,151
SHIP-1373,ORD-2373,Express,97
SHIP-1374,ORD-2374,Standard,316
SHIP-1375,ORD-2375,Express,356
SHIP-1376,ORD-2376,Express,62
SHIP-1377,ORD-2377,Standard,423
SHIP-1378,ORD-2378,Express,405
SHIP-1379,ORD-2379,Express,102
SHIP-1380,ORD-2380,Express,207
SHIP-1381,ORD-2381,Express,419
SHIP-1382,ORD-2382,Express,302
SHIP-1383,ORD-2383,Standard,189
SHIP-1384,ORD-2384,Express,496
SHIP-1385,ORD-2385,Express,91
SHIP-1386,ORD-2386,Express,111
SHIP-1387,ORD-2387,Express,205
SHIP-1388,ORD-2388,Standard,442
SHIP-1389,ORD-2389,Standard,472
SHIP-1390,ORD-2390,Standard,345
SHIP-1391,ORD-2391,Standard,111
SHIP-1392,ORD-2392,Express,380
SHIP-1393,ORD-2393,Standard,108
SHIP-1394,ORD-2394,Express,149
SHIP-1395,ORD-2395,Express,119
SHIP-1396,ORD-2396,Express,394
SHIP-1397,ORD-2397,Standard,51
SHIP-1398,ORD-2398,Standard,188
SHIP-1399,ORD-2399,Express,76
SHIP-1400,ORD-2400,Standard,402
SHIP-1401,ORD-2401,Standard,314
SHIP-1402,ORD-2402,Standard,102
SHIP-1403,ORD-2403,Express,231
SHIP-1404,ORD-2404,Express,482
SHIP-1405,ORD-2405,Standard,222
SHIP-1406,ORD-2406,Express,152
SHIP-1407,ORD-2407,Express,216
SHIP-1408,ORD-2408,Standard,419
SHIP-1409,ORD-2409,Standard,193
SHIP-1410,ORD-2410,Express,387
